Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling
2022-01-15,ABC,Beverages,211739.0,1034.0,5,1,0,15,0,0,-0.0945520632884328,168670179.732609,419304.4207309235,233850.0,248185.0,290002.696
2022-01-15,ABC,Grocery,443967.016,2107.406,5,1,0,15,0,0,1.096765432915051,169114146.748609,419304.4207309235,211739.0,192949.538,325862.3357142857
2022-01-15,ABC,Household,206776.0,801.0,5,1,0,15,0,0,-0.5342536887920522,169320922.748609,419304.4207309235,443967.016,421828.536,295140.5448571429
2022-01-15,XYZ,Beverages,235791.06,990.0,5,1,0,15,0,0,0.14032121716253343,169556713.808609,419304.4207309235,206776.0,194229.0,301077.982
2022-01-15,XYZ,Grocery,603255.614,3226.084,5,1,0,15,0,0,1.558432936346272,170159969.422609,419304.4207309235,235791.06,270562.06,348605.6325714286
2022-01-15,XYZ,Household,309093.841,1115.0,5,1,0,15,0,0,-0.48762376374668925,170469063.263609,419304.4207309235,603255.614,504860.738,320638.933
2022-01-16,ABC,Beverages,235881.25,808.0,6,1,0,16,0,0,-0.23686201822442654,170704944.513609,430633.82457928616,309093.841,233850.0,320929.11157142854
2022-01-16,ABC,Grocery,407167.937,1779.437,6,1,0,16,0,0,0.72615643252696,171112112.450609,430633.82457928616,235881.25,211739.0,348847.5311428571
2022-01-16,ABC,Household,181968.999,724.0,6,1,0,16,0,0,-0.5530861286850295,171294081.449609,430633.82457928616,407167.937,443967.016,311419.2430000001
2022-01-16,XYZ,Beverages,195056.02,842.0,6,1,0,16,0,0,0.07191895911896506,171489137.46960902,430633.82457928616,181968.999,206776.0,309744.9601428571
2022-01-16,XYZ,Grocery,558762.697,3108.163,6,1,0,16,0,0,1.8646267723498107,172047900.16660902,430633.82457928616,195056.02,235791.06,355883.76542857144
2022-01-16,XYZ,Household,282811.0,1177.0,6,1,0,16,0,0,-0.49386206073094396,172330711.16660902,430633.82457928616,558762.697,603255.614,310105.9634285714
2022-01-17,ABC,Beverages,196166.832,1540.0,0,0,1,17,0,0,-0.3063677438289175,172526877.998609,354874.90183043893,282811.0,309093.841,293973.53357142856
2022-01-17,ABC,Grocery,367440.183,1887.07,0,0,1,17,0,0,0.8731004586952804,172894318.181609,354874.90183043893,196166.832,235881.25,312767.6668571429
2022-01-17,ABC,Household,216857.153,747.0,0,0,1,17,0,0,-0.40981644623228375,173111175.334609,354874.90183043893,367440.183,407167.937,285580.412
2022-01-17,XYZ,Beverages,321661.0,1297.0,0,0,1,17,0,0,0.4832851743654498,173432836.334609,354874.90183043893,216857.153,181968.999,305536.41214285715
2022-01-17,XYZ,Grocery,664632.763,3487.211,0,0,1,17,0,0,1.066252243821912,174097469.097609,354874.90183043893,321661.0,195056.02,372618.804
2022-01-17,XYZ,Household,314360.0,1363.0,0,0,1,17,0,0,-0.5270169972045149,174411829.097609,354874.90183043893,664632.763,558762.697,337704.133
2022-01-18,ABC,Beverages,430084.5,1473.0,1,0,0,18,0,0,0.3681273062730628,174841913.597609,376486.0646607745,314360.0,282811.0,358743.2044285714
2022-01-18,ABC,Grocery,604817.603,2574.993,1,0,0,18,0,0,0.4062762154878867,175446731.200609,376486.0646607745,430084.5,196166.832,417121.886
2022-01-18,ABC,Household,319725.00002,1112.0,1,0,0,18,0,0,-0.4713695526814884,175766456.200629,376486.0646607745,604817.603,367440.183,410305.43128857145
2022-01-18,XYZ,Beverages,200059.311,854.0,1,0,0,18,0,0,-0.37427692239429033,175966515.511629,376486.0646607745,319725.00002,216857.153,407905.7395742857
2022-01-18,XYZ,Grocery,509943.700996,2794.622,1,0,0,18,0,0,1.548962597376935,176476459.212625,376486.0646607745,200059.311,321661.0,434803.26828799996
2022-01-18,XYZ,Household,259589.224993,1046.0,1,0,0,18,0,0,-0.4909453249721851,176736048.437618,376486.0646607745,509943.700996,664632.763,376939.9057155714
2022-01-19,ABC,Beverages,271255.14,1237.0,2,0,0,19,0,0,0.04493990460241393,177007303.57761797,375731.7458731569,259589.224993,314360.0,370782.0685727143
2022-01-19,ABC,Grocery,403323.047,1882.58,2,0,0,19,0,0,0.48687706710368706,177410626.62461796,375731.7458731569,271255.14,430084.5,366959.00385842856
