Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling,Profile,Size
2022-01-11,ABC,Beverages,299901.0,1359.0,1,0,0,11,0,0,0.1024312958579012,160558926.86063406,376486.0646607745,272036.0,377254.0,342695.1504171429,1,1
2022-01-11,ABC,Grocery,606151.751,2881.708,1,0,0,11,0,0,1.0211728236984872,161165078.61163405,376486.0646607745,299901.0,296844.916,386881.84113142855,1,1
2022-01-11,ABC,Household,305017.0,1101.0,1,0,0,11,0,0,-0.4967976261772772,161470095.61163405,376486.0646607745,606151.751,453291.304,365699.7977028572,1,1
2022-01-11,XYZ,Beverages,248616.0,932.0,1,0,0,11,0,0,-0.1849110049603792,161718711.61163405,376486.0646607745,305017.0,322876.95192,355091.0902857143,2,2
2022-01-11,XYZ,Grocery,622561.39301,3378.658,1,0,0,11,0,0,1.50410831567558,162341273.00464404,376486.0646607745,248616.0,196261.029,415991.14228714287,2,2
2022-01-11,XYZ,Household,274953.911005,1154.0,1,0,0,11,0,0,-0.5583505272056222,162616226.91564903,376486.0646607745,622561.39301,557654.852,375605.2935735714,2,2
2022-01-12,ABC,Beverages,196014.5,950.0,2,0,0,12,0,0,-0.2871005206525849,162812241.41564903,375731.7458731569,274953.911005,272036.0,364745.0792878572,1,1
2022-01-12,ABC,Grocery,432843.686,2204.186,2,0,0,12,0,0,1.2082227896405624,163245085.10164902,375731.7458731569,196014.5,299901.0,383736.8915735714,1,1
2022-01-12,ABC,Household,272431.0,949.0,2,0,0,12,0,0,-0.3706018851341174,163517516.10164902,375731.7458731569,432843.686,606151.751,336062.49857357144,1,1
2022-01-12,XYZ,Beverages,178756.44796,837.0,2,0,0,12,0,0,-0.3438468898179723,163696272.549609,375731.7458731569,272431.0,305017.0,318025.2768535715,2,2
2022-01-12,XYZ,Grocery,509834.515,2899.544,2,0,0,12,0,0,1.8521181798940467,164206107.064609,375731.7458731569,178756.44796,248616.0,355342.2075678572,2,2
2022-01-12,XYZ,Household,219909.677,940.0,2,0,0,12,0,0,-0.568664595020602,164426016.74160898,375731.7458731569,509834.515,622561.39301,297820.53385214286,2,2
2022-01-13,ABC,Beverages,333398.25,1414.0,3,0,0,13,0,0,0.5160690268305019,164759414.99160898,416594.60445696174,219909.677,274953.911005,306169.7251371429,1,1
2022-01-13,ABC,Grocery,577075.995,2705.301,3,0,0,13,0,0,0.7308908939983938,165336490.98660898,416594.60445696174,333398.25,196014.5,360607.0815657143,1,1
2022-01-13,ABC,Household,319568.0,1146.0,3,0,0,13,0,0,-0.446228914789637,165656058.98660898,416594.60445696174,577075.995,432843.686,344424.8407085714,1,1
2022-01-13,XYZ,Beverages,181156.09,855.0,3,0,0,13,0,0,-0.433121933360036,165837215.076609,416594.60445696174,319568.0,272431.0,331385.5678514285,2,2
2022-01-13,XYZ,Grocery,554760.784,3058.627,3,0,0,13,0,0,2.0623358232119053,166391975.860609,416594.60445696174,181156.09,178756.44796,385100.473,2,2
