Date,Store,Department,Revenue,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Previous_day_revenue,Revenue_from_7_days_ago,7_day_rolling_average_of_revenue,Profile,Size,Quantity
2022-02-05,XYZ,Beverages,0.2185156550861112,0.8333333333333333,1.0,0.0,0.13333333333333333,0.0,0.0,0.2977941176470588,0.7611162049018082,0.7298063138741027,0.08610526345601484,0.10092228776507096,0.5988516094446016,1.0,1.0,1763.0
2022-02-05,XYZ,Grocery,0.34250781001321684,0.8333333333333333,1.0,0.0,0.13333333333333333,0.0,0.0,0.2279411764705882,0.76386786869568,0.7298063138741027,0.2185156550861112,0.22878549675675575,0.662892483832569,1.0,1.0,4101.79
2022-02-05,XYZ,Household,0.10474822380874092,0.8333333333333333,1.0,0.0,0.13333333333333333,0.0,0.0,0.04779411764705882,0.7650693378398645,0.7298063138741027,0.34250781001321684,0.3693394127201432,0.5138922504941325,1.0,1.0,1318.0
2022-02-06,ABC,Beverages,0.05185573729467753,1.0,1.0,0.0,0.16666666666666669,0.0,0.0,0.0974264705882353,0.7659259474942103,0.85813673838146,0.10474822380874092,0.11914528510290619,0.4759992466101691,0.0,0.0,1243.0
2022-02-06,ABC,Grocery,0.22856728931179648,1.0,1.0,0.0,0.16666666666666669,0.0,0.0,0.39889705882352944,0.7679347180639072,0.85813673838146,0.05185573729467753,0.21019098510756867,0.4863475689850004,0.0,0.0,2803.91
2022-02-06,ABC,Household,0.10221031789578376,1.0,1.0,0.0,0.16666666666666669,0.0,0.0,0.07536764705882353,0.769119640038615,0.85813673838146,0.22856728931179648,0.2797671260956189,0.386359341485105,0.0,0.0,1227.0
2022-02-06,XYZ,Beverages,0.11313515315573931,1.0,1.0,0.0,0.16666666666666669,0.0,0.0,0.16176470588235292,0.7703757920724791,0.85813673838146,0.10221031789578376,0.08610526345601484,0.4015807806231715,1.0,1.0,1474.0
2022-02-06,XYZ,Grocery,0.39217183085030677,1.0,1.0,0.0,0.16666666666666669,0.0,0.0,0.41727941176470584,0.7734512657308138,0.85813673838146,0.11313515315573931,0.2185156550861112,0.49937243647329177,1.0,1.0,4635.55
2022-02-06,XYZ,Household,0.11576929882506408,1.0,1.0,0.0,0.16666666666666669,0.0,0.0,0.042279411764705885,0.774724592383656,0.85813673838146,0.39217183085030677,0.34250781001321684,0.3716883310146881,1.0,1.0,1462.0
2022-02-07,ABC,Beverages,0.04954188343218592,0.0,0.0,0.0,0.2,0.0,0.0,0.08823529411764705,0.7755661157244974,0.0,0.11576929882506408,0.10474822380874092,0.34059977365272653,0.0,0.0,1405.0
2022-02-07,ABC,Grocery,0.2677263265274918,0.0,0.0,0.0,0.2,0.0,0.0,0.4613970588235293,0.7778302035359766,0.0,0.04954188343218592,0.05185573729467753,0.462163788864277,0.0,0.0,3207.82
2022-02-07,ABC,Household,0.11107298858445126,0.0,0.0,0.0,0.2,0.0,0.0,0.06801470588235294,0.7790729102036291,0.0,0.2677263265274918,0.22856728931179648,0.39599878415642664,0.0,0.0,1207.0
2022-02-07,XYZ,Beverages,0.03191211355323868,0.0,0.0,0.0,0.2,0.0,0.0,0.07352941176470588,0.7797994872510341,0.0,0.11107298858445126,0.10221031789578376,0.3564114894165308,1.0,1.0,950.0
2022-02-07,XYZ,Grocery,0.3421855134324442,0.0,0.0,0.0,0.2,0.0,0.0,0.6617647058823529,0.782549049668288,0.0,0.03191211355323868,0.11313515315573931,0.4853974690609143,1.0,1.0,3966.44
